NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Gali?;Alex;716037;Rapperswil-Jona;1719;0.0;1;20;19
Schall-Süss;Elke;718155;Neuhausen;1690;0.0;2;20;19
Timina;Elena;819015;Rapid Luzern;1685;0.0;3;20;19
Moret;Rachel;115161;Châtelaine;1638;0.0;4;20;19
Nemes;Olga;719057;Zürich-Affoltern;1585;0.0;5;20;18
You;Qian;612074;Baar;1554;0.0;6;20;18
Robertson;Laura;715001;Neuhausen;1520;0.0;7;20;17
Tchalakian;Alexandra;904114;ZZ-Lancy;1480;21.0;8;20;16
Walna;Weronika;711125;Rapid Luzern;1477;0.0;9;20;17
Charmot;Anna;715173;Neuhausen;1477;0.0;10;20;16
Reust;Céline;705052;Neuhausen;1461;0.0;11;20;16
Fauvel;Amanda;111013;Carouge;1453;-9.0;12;20;16
Antonyan;Elmira;703005;Wetzikon;1434;0.0;13;20;16
Busin;Sandra;700273;Young Stars ZH;1411;9.0;14;19;15
Simonet;Salomé;908129;Fribourg;1406;4.0;15;20;15
Collier;Evangeline;717045;Young Stars ZH;1386;0.0;16;19;15
Gallerachovà;Nikola;711012;Uster;1357;1.0;17;19;14
Sako;Karin Roberta;719100;Zürich-Affoltern;1350;0.0;18;19;14
Göggel;Monika;500570;Aarberg;1340;31.0;19;18;13
Koop;Olga;717040;Zürich-Affoltern;1315;0.0;20;18;13
Svobodova;Tatana;910009;Gaiserwald;1304;-15.0;21;18;13
Volkmer;Maya;717069;Kloten;1299;-1.0;22;18;13
Kovac;Dajana;617071;Schöftland;1289;-21.0;23;18;13
Kroon;Mireille;111059;ZZ-Lancy;1283;0.0;24;18;13
Wicki;Sonja;800761;Wädenswil;1266;11.0;25;17;12
Olczak;Honorata;117040;UGS-Chênois;1260;0.0;26;17;12
Schempp;Liza;705126;Horgen;1249;6.0;27;17;12
Rehorek;Katerina;908140;Neuhausen;1248;0.0;28;17;12
Nong;Liying;117013;UGS-Chênois;1234;-1.0;29;17;11
Zumbrunnen;Rijana;603035;Rio-Star Muttenz;1232;0.0;30;17;12
Schmid;Tini;702872;Wil SG;1229;0.0;31;16;11
Ebner;Janine;612062;Bremgarten;1224;-26.0;32;17;12
Truöl;Paula;914300;T-Card;1223;0.0;33;17;12
Weiss;Jacqueline;701227;Neuhausen;1200;0.0;34;16;11
Stamm;Ursina;711076;Wädenswil;1196;29.0;35;15;10
Credaro;Céline;910001;Spreitenbach;1187;40.0;36;15;9
Csikos;Kata;716002;Wil SG;1182;-20.0;37;16;11
Doutaz;Fanny;115121;Châtelaine;1168;19.0;38;15;9
Hódi;Beatrix;716093;Winterthur;1162;35.0;39;14;9
Förstel;Romana;811023;Hünenberg;1159;-17.0;40;15;10
Geiger;Margit;515221;Zürich-Affoltern;1156;0.0;41;15;10
Holzinger;Svenja;711079;Affoltern A/A;1154;-24.0;42;15;10
Klinger;Berit;702282;Wetzikon;1152;0.0;43;15;9
Malova;Tatiana;109021;Veyrier;1150;-5.0;44;15;9
Landolt;Ramona;802002;Steinhausen;1131;-27.0;45;15;9
Perez;Candela;117099;Silver Star;1130;0.0;46;15;9
Ludwig;Svea;713165;Young Stars ZH;1128;0.0;47;14;9
Schöb;Suchawadee;718161;Chur;1127;-17.0;48;15;9
Tullii;Nina;214292;La Chaux-de-Fonds;1123;-45.0;49;15;10
Maurer;Ludivine;114046;Vernier;1115;-17.0;50;15;9
Zürcher-Steffen;Karin;516021;Langnau;1108;-25.0;51;15;9
Bodmer;Julia;704038;Zofingen;1107;5.0;52;14;8
Langel;Maud-Elodie;210050;Tramelan;1102;-11.0;53;14;8
Blessing;Miriam;700080;Muolen;1099;2.0;54;14;8
Rapoula;Sandra;210003;Côte Peseux;1076;10.0;55;13;7
Reistad;Virginie;101545;UGS-Chênois;1065;8.0;56;13;7
Wittwer;Damaris;500210;Ittigen;1064;33.0;57;12;6
Zannol;Fabienne;512086;Royal Bern;1060;-1.0;58;13;7
Baumann;Sabine;504142;Thun;1060;20.0;59;12;7
Gutknecht;Nina;709119;Uster;1056;-11.0;60;13;7
Steimer;Franziska;609059;Pratteln;1047;-10.0;61;13;7
Grädel;Tamina;710028;Dübendorf-Volketswil;1044;17.0;62;12;6
Jordan;Petra;706061;Triesen;1043;14.0;63;12;6
Leuenberger;Vreni;700582;Wetzikon;1033;-37.0;64;13;7
Bernet;Melanie;714109;Neuhausen;1029;32.0;65;12;6
Harrer;Svetlana;617005;Döttingen;1028;29.0;66;12;6
Risse;Fanny;414048;Lausanne;1027;-26.0;67;13;7
Etter;Nadia;502829;Solothurn;1022;0.0;68;12;6
Witschi-Ulrich;Simone;502243;Kirchberg;1012;-51.0;69;13;7
Lilly;Cynthia;613012;Basel;995;66.0;70;8;4
Kocher;Therese;501000;Köniz;995;13.0;71;10;5
Xiao;Miaochen;117006;UGS-Chênois;992;0.0;72;11;6
Rebetez;Auxanne;207056;Moutier;990;12.0;73;11;5
Bonaly;Sarah;419101;Romanel;990;0.0;74;11;6
Reust-Höfliger;Barbara;714319;Uster;990;0.0;75;11;6
Mala;Katerina;117058;Meyrin;989;18.0;76;11;5
Rehorek;Kristyna;710162;Neuhausen;987;-4.0;77;11;6
Pelz;Lotta;715027;Neuhausen;984;-1.0;78;11;5
Kounoudis;Nadia;111079;Onex;982;0.0;79;11;5
Mathys;Jessica;511082;Lyss;982;-39.0;80;12;6
Moyoli;Maria Isabel Vera;707026;Zürich-Affoltern;974;-1.0;81;11;5
Alimpinisis-Hofer;Deborah;503526;Port;974;0.0;82;11;5
Hewage;Tamara;716126;Embrach;968;13.0;83;10;5
Ris;Caroline;500729;Münsingen;965;-12.0;84;11;5
Sandri;Stefanie;510051;Thun;964;-30.0;85;11;6
Suter;Deborah;604101;Bremgarten;958;-4.0;86;11;5
Parshikova;Elena;715020;Zürich-Affoltern;955;0.0;87;10;5
Fazlic;Edina;513065;Solothurn;954;32.0;88;9;4
Schmid;Monika;601748;Niedergösgen;954;6.0;89;10;5
Breuer;Leonie;510046;Burgdorf;953;-7.0;90;10;5
Schilling;Andrea;702052;Young Stars ZH;946;-28.0;91;11;5
Wichelhaus;Manuela;503310;Burgdorf;943;0.0;92;10;5
Hanzawa;Michiru;909029;Zürich-Affoltern;940;-16.0;93;10;5
Weber;Kristina Ramona;718057;Zürich-Affoltern;938;0.0;94;10;5
Zellweger;Nadia;708122;Uster;932;-15.0;95;10;5
Sander;Birgit;700382;Höngg;920;3.0;96;9;4
Dony;Fabienne;801325;Hünenberg;904;42.0;97;8;4
Lehmann;Daria;511029;Köniz;901;5.0;98;9;4
Leibundgut;Jessica;513016;Thun;899;0.0;99;9;4
Schindler;Daria;606069;Bremgarten;898;11.0;100;8;4
Opprecht;Karin;703577;Rapid Luzern;898;-20.0;101;11;5
Pulver;Conny;515381;Wohlensee;896;1.0;102;9;4
Müller;Andrea;502322;Köniz;895;0.0;103;9;4
Schifferle;Sabrina;602144;Döttingen;892;-15.0;104;9;4
Gäumann Tokar;Gabriela;502039;Burgdorf;889;-19.0;105;9;4
Langwieser;Elisa;316011;Locarno;884;8.0;106;8;4
Aebersold;Mara;714108;Uster;881;-12.0;107;9;4
Guryeva;Ekaterina;715111;Meilen-Männedorf;879;1.0;108;8;4
Pabst;Aline;604085;Lenzburg;875;0.0;109;8;4
Thüring;Jacqueline;600568;Münchenstein-City;874;30.0;110;7;3
Duca;Lisa;306025;Tenero;867;2.0;111;8;4
Rehm;Bianca;718166;St. Gallen;867;-24.0;112;9;4
Hohl;Roswitha;709017;Dübendorf-Volketswil;865;-4.0;113;8;4
Siegler;Michelle;913018;Lenzburg;858;-6.0;114;8;4
Notter;Angelika;500541;Kehrsatz;855;-11.0;115;8;4
Rüegg;Olivia;701810;Sierre;855;18.0;116;7;3
Oetjen;Lucia;801446;Zürich-Affoltern;853;-35.0;117;8;4
Stebler;Larissa;610068;Winznau;847;-29.0;118;8;4
Flückiger;Klara;500707;Solothurn;843;-21.0;119;8;4
Schmid;Susanne;700826;Urdorf;839;0.0;120;7;3
Ruggio-Williams;Barbara;318005;Locarno;832;23.0;121;6;3
Erbetta;Florence;404816;Montreux-Riviera;830;-5.0;122;7;3
Holzinger;Silke;711017;Affoltern A/A;822;-6.0;123;7;3
Constantin;Raluca-Tereza;410102;Lausanne;819;12.0;124;6;3
Neuwerth;Anna-Ursula;701690;Chur;813;0.0;125;7;3
Boesinger;Myriam;614070;Trams-Renens;812;-24.0;126;7;3
Nadarajah;Tharcheka;509033;Hindelbank;812;-8.0;127;7;3
Lustenberger;Daniela;600653;Muri;811;0.0;128;7;3
Wagner;Clara;113014;Carouge;808;0.0;129;6;3
Eigenmann;Christine;600113;Oberwil;805;6.0;130;7;3
Kubli;Nathalie;702249;Wädenswil;802;0.0;131;6;3
Volkart;Kathrin;703370;Young Stars ZH;801;19.0;132;6;3
Moullet;Marie;414071;Lausanne;801;0.0;133;6;3
Gerber;Sandra;405501;Rossens;799;18.0;134;6;3
Giroud;Michèle;404031;Grône;798;-7.0;135;6;3
Levêque;Luan;412084;Gland;794;-31.0;136;7;3
Gutknecht-Schaad;Susanne;907009;Uster;793;2.0;137;6;3
Kindle;Christine;702737;Balzers;791;9.0;138;6;3
Muff;Dolores;601508;Muri;790;0.0;139;6;3
Bucher;Brigitte;502909;Burgdorf;788;-13.0;140;6;3
Watson;Monique;104030;Rapid-Genève;788;-3.0;141;6;3
Fischer;Severina;606070;Bremgarten;786;-18.0;142;6;3
Panza;Tessa;216054;La Chaux-de-Fonds;786;1.0;143;5;2
Reinkort;Kersti;117083;Bernex;786;0.0;144;6;3
Tobler;Vreni;701711;Imperial Winterthur;785;-8.0;145;6;3
Marti;Claire;222033;Omega;780;3.0;146;6;3
Handl;Sandra;703044;Uster;777;19.0;147;5;2
Di Venuto;Elisa;417032;Mézières;771;44.0;148;4;2
Arnhold;Kathrin;718077;Pinguin Zuerich;769;29.0;149;5;2
Engler-Böhm;Beatrice;500136;Regio Moossee;769;-6.0;150;6;3
Binder;Bettina;700250;Buchs Zürich;769;0.0;151;5;2
Meier;Carine;907091;Fribourg;768;16.0;152;5;2
Schmid;Elisabeth;601709;Lenzburg;766;0.0;153;5;2
Foletti;Sabrina;714050;Romanshorn;765;2.0;154;5;2
Delévaux;Auriane;105076;Châtelaine;759;9.0;155;5;2
Krummen;Astrid;617051;Oberwil;758;0.0;156;5;2
Gmeiner;Ursula;801282;Rothenburg;757;-5.0;157;5;2
Müller;Beatrice;700983;Oberrieden;754;-27.0;158;6;3
Büschi;Bénédicte;416033;Bulle;752;7.0;159;5;2
Heinen;Colette;115511;Silver Star;751;0.0;160;5;2
Persy;Gabriele;601701;Aesch;750;0.0;161;5;2
Böhm;Anke;615085;Zofingen;749;0.0;162;5;2
Keller;Selina;816055;Rapid Luzern;747;-10.0;163;5;2
Foletti-Surber;Michaela;702489;Romanshorn;745;-23.0;164;5;2
Hubnerova;Ester;115534;ZZ-Lancy;744;15.0;165;4;2
Rücker;Sandra;109076;Meyrin;741;23.0;166;4;2
Zbinden;Christina;500398;Grossaffoltern;736;0.0;167;5;2
Eisler;Nicole;711090;Flums;734;12.0;168;4;2
Nguyen;Phuong Trinh;416081;Lausanne;731;0.0;169;5;2
Acrostelli;Teresa;714199;St. Gallen;730;5.0;170;4;2
Zhou;Ruiyuan Jade;418076;Forward-Morges;728;85.0;171;2;1
Balmer;Sandra;503800;Stettlen;722;-8.0;172;5;2
Geissberger;Corinne;600003;Lenzburg;721;1.0;173;4;2
Künzli;Dagmar;700901;Uster;721;0.0;174;4;2
Gubser;Marianne;700038;Muolen;720;0.0;175;4;2
Chammartin;Véronique;403010;Rossens;718;11.0;176;4;2
Müller;Katrin;717038;Rorschach;718;-4.0;177;4;2
Keller Foletti;Barbara;702886;Romanshorn;718;-1.0;178;4;2
Scherrer;Andrea;600332;Breitenbach;717;0.0;179;4;2
Wey;Adriana;807041;Zug;717;-31.0;180;5;2
Troeder;Sarah;116076;UGS-Chênois;716;0.0;181;4;2
Hohl;Laura;711096;Kloten;716;-15.0;182;5;2
Schild;Yuriko;716106;Embrach;711;12.0;183;4;2
Yeo;Annabelle;117120;Silver Star;711;0.0;184;4;2
Angst;Jasmin;716062;Wädenswil;711;0.0;185;4;2
Leuenberger;Marianne;702854;Wetzikon;710;-14.0;186;4;2
Dong;Wenqing;215162;Lausanne;710;0.0;187;4;2
Schatzmann;Gabi;701975;Imperial Winterthur;710;-24.0;188;5;2
Arluna;Dominique;415421;Collombey/Muraz;709;1.0;189;4;2
Widmer;Uschi;701442;Buchs Zürich;709;2.0;190;4;2
Sierra;Lia;718124;Uster;707;98.0;191;1;1
Vogel;Melody;415998;Silver Star;703;25.0;192;3;2
Lötscher;Christina;801357;Rothenburg;703;5.0;193;4;2
Egli;Sabrina;701233;Steckborn-Homburg;701;10.0;194;4;2
Bruggmann;Sara;716076;Wil SG;699;8.0;195;4;2
Yeo;Isabelle;117121;Silver Star;695;0.0;196;4;2
Aydogan;Zeynep;115522;Silver Star;694;31.0;197;3;2
Schmid;Doris;600585;Möhlin;693;17.0;198;3;2
Wey;Jessica;408078;Rossens;691;0.0;199;4;2
Rieder;Kathrin;600177;Young Stars ZH;689;0.0;200;3;2
Pelka;Anna;718012;Kreuzlingen;688;-10.0;201;4;2
Menu;Marilyne;115341;Carouge;686;0.0;202;3;2
Luder;Iris;503244;Langnau;682;0.0;203;3;2
Gass;Martina;612039;Münchenstein-City;681;13.0;204;2;1
Roth-Rosser;Marion;501260;Wohlensee;681;11.0;205;3;2
Gougain;Susanne;501607;Port;679;7.0;206;2;1
Hermann;Martina;516011;Bern;679;5.0;207;3;2
Langwieser;Perla;317002;Locarno;678;-2.0;208;3;2
Cano;Miriam;709072;Buchs Zürich;675;10.0;209;2;1
Häusli;Annina;907191;Burgdorf;674;0.0;210;3;2
Schlumpf;Denise;702856;Urdorf;674;-8.0;211;3;2
Kühn;Emma;618084;Wettstein Basel;674;0.0;212;3;2
